key,value,来源小黑盒 雾东军: 58032429
Item_Helmat_SBossElec_ResSpace,比利头盔
Item_NightVisionGoggles,GPNVG-18夜视仪
Item_ThermalVisionGoggles,T-7热成像目镜
Item_SMG_MP7_Electric,带电MP7
Item_SMG_PP19Bizon_Normal,Bizon-2
Item_SMG_PPSH_Normal,PPSh
Item_SMG_SR3M_Normal,SR-3M
Item_SMG_Vector9_Normal,Vector
Item_Formula_FirstAidKit_M,配方： 急救箱
Item_WhiteGown,白大褂
Item_Glass,黑色眼镜
Item_GlassShiny,闪光的眼镜
Item_fiber,有机纤维
Item_SunGlass,太阳镜
Item_Quest_Letter_LifeSupportClue,维生系统线索
Item_Marker,标记器
Item_Quest_AirCirculationUnit,空气循环单元
Item_ComputingUnit,高性能计算单元
Item_BP_ComputingUnit,蓝图： 高性能计算单元
Item_Quest_HugeMotherBoard,大型主板
Item_Quest_DogCollar,爱狗的项圈
Item_Quest_Blueprint_Thrusters_Encrypted,飞船推进器图纸（加密）
Item_Key_Card_JLabLv1,J-Lab一级凭证
Item_Key_Card_JLabLv2,J-Lab二级凭证
Item_Key_Card_JLabLv3,J-Lab三级凭证
Item_Quest_ResearchDocument_Thrusters,矢量推进器研究日志
Item_Eyeball_Jlab,矿长的虹膜信息
Item_Key_ThrusterResearcherHome,研究员家宅钥匙
Item_Quest_Blueprint_NavigationSystem,星际坐标
Item_Quest_StarMap1,星图碎片Part1
Item_Quest_StarMap2,星图碎片Part2
Item_Quest_StarMap3,星图碎片Part3
Item_Plastics,聚乙烯片
Item_DuctTape,胶带
Item_Quest_Blueprint_DefenceShield_BlackMarket,宇宙级防御力场蓝图（加密）
Item_TransformDevice,能量重塑装置
Item_EnergyBall,能源球
Item_EggWhtieEnergyPieces,蛋清能源碎片
Item_PoliceStick,警棍
Item_Quest_Blueprint_ComputingUnit_Encrypted,高性能计算单元蓝图（加密）
Item_Quest_Power_ComputingUnit,5000w电源
Item_Muzzle_SHT_SIL__1,霰弹枪重型消音器
Item_Stock_SNP_MOV__1,狙击枪快速枪托
Item_Quest_Cooling_ComputingUnit,大型散热器
Item_Key_Farm_JLabStaffHome,家门钥匙01
Item_Sniper_M700_Normal,M700
Item_Sniper_Mosin_Normal,Mosin-Nag ant
Item_Sniper_SV98_Normal,SV98
Item_PST_TT33_Normal,TT-33
Item_PST_PM_Normal,PM
Item_MAG_Desert_Normal,沙漠之鹰
Item_BR_M1A_Normal,M1A
Item_BR_M14_Normal,M14
Item_AR_MCXSpear_Normal,MCX Spear
Item_ArmorLV1Fire,一级防火服
Item_Jacket,皮夹克
Item_Formula_Injection_A,配方：黄针
Item_Formula_Injection_Weight,配方： 负重针
Item_Key_HiddenWarehouse_RBHouse,民房钥匙
Item_BP_ThermalVisionGoggles,蓝图：T-7热成像目镜
Item_Injection_StoneSkin,硬化针
Item_Injection_Stamina,持久针
Item_UVBulb2,紫外灯
Item_Injection_MeleeDamage,近战针
Item_Key_Card_Yellow,J-Lab门禁卡（黄）
Item_Key_Card_Red,J-Lab门禁卡（红）
Item_Key_Card_Green,J-Lab门禁卡（绿）
Item_Key_Card_Blue,J-Lab门禁卡（蓝）
Item_BP_VSS,蓝图：VSS
Item_BP_ASVAL,蓝图：AS Val
Item_BP_DTMDR556,蓝图：DT MDR-556
Item_BP_DTMDR762,蓝图：DT MDR-762
Item_BP_MP7_Electric,蓝图： 带电MP7
Item_BP_PP19Bizon,蓝图：Bizon-2
Item_BP_PPSH,蓝图：PPSh
Item_BP_SR3M,蓝图：SR-3M
Item_BP_Vector9,蓝图：Vector
Item_BP_M700,蓝图：M700
Item_BP_Mosin,蓝图：Mosin-Nag ant
Item_BP_SV98,蓝图：SV98
Item_BP_TT33,蓝图：TT-33
Item_BP_PM,蓝图：PM
Item_BP_Desert,蓝图： 沙漠之鹰
Item_BP_M1A,蓝图：M1A
Item_BP_M14,蓝图：M14
Item_BP_MCXSpear,蓝图：MCX Spear
Item_Quest_BlueprintPieces_MF__1,MF蓝图碎片1
Item_Quest_BlueprintPieces_MF_2,MF蓝图碎片2
Item_Quest_BlueprintPieces_MF_3,MF蓝图碎片3
Item_Key_Card_ SouthFactory,南厂区钥匙卡
Item_Key_MysteryX,神秘钥匙X (DEMO不可用)
Item_Key_MysteryO,神秘钥匙O (DEMO不可用)
Item_Key_MysteryZ,神秘Z钥匙
Item_BP_NightVisionGoggles,蓝图： 夜视仪
Item_Key_Farm_SuperMarketSmallRoom,超市隔间钥匙
Item_Key_Farm_RestaurantSmallRoom,餐厅隔间钥匙
Item_UniversalGlueA,万能胶A
Item_UniversalGlueB,万能胶B
Item_Quest_DeliverBox_DestoryOnBase,快递箱
Item_KeyRing,钥匙包
Item_Magazine_BR_ADS__1,BR快速弹匣I
Item_Magazine_BR_ADS_2,BR快速弹匣II
Item_Magazine_BR_CAP__1,BR扩容弹匣I
Item_Magazine_BR_CAP_2,BR扩容弹鼓II
Item_Xing,麻布头套
Item_Formula_UVBulb2,配方： 紫外灯
Item_Formula_Drum1,配方： 红色大桶
Item_Formula_Drum2,配方：蓝色大桶
Item_Formula_Drum3,配方：黄色大桶
Item_Formula_Drum4,配方： 金属油桶
Item_Blindfold,遮眼布
Item_BoatTicket,船票（DEMO不可用）
Item_Bullet_Enemy_Piercing1,
Item_Bullet_Enemy_Piercing2,
Item_Bullet_Enemy_Piercing3,
Item_Bullet_Enemy_Piercing4,
Item_Bullet_Enemy_Piercing5,
Item_Bullet_Enemy_Piercing6,
Item_Injection_StormProtection1,空间风暴防护针
Item_Injection_StormProtection2,测试用空间风暴防护针
Item_ArmorLV4StormProtection,空间防护服
Item_HelmatLV3StormProtection,空间防护头盔
Item_SpaceCrystal,空间晶体
Item_WeaponPartsPolluted,被污染的武器零件
Item_AR_AK47_Fire,带火AK-47
BP_AR_AK47_Fire,蓝图： 带火AK47
Item_GunPowder,火药
Item_Formula_Dynamite,配方： 管状炸弹
Item_Formula_DynamiteMultiple,配方：集束管状炸弹
Item_BP_Glick,蓝图：Glick
Item_DemoChallengeTicket,DEMO终极挑战船票
Item_ARR_BurstBow_Normal,连珠弓
Item_Bullet_ARR_Piercing2,低级穿甲箭
Item_Bullet_ARR_Piercing4,中级穿甲箭
Item_Injection_RecoilControl,强翅针
Item_Formula_WeaponPartsPolluted,配方：被污染的武器零件
Item_Formula_ContinerL,配方： 大扩容箱
Item_Injection_Healing,恢复针
Item_SHT_MP155M_Normal,MP-155 ULTIMA
Item_BP_MP155M,蓝图：MP-155 ULTIMA
Item_mushroom,蘑菇
Item_PaperBox,纸箱子
Item_InjectionBag,注射器收纳包
 Item_ProteinPowder,蛋白粉
Item_Formula_ProteinPowder,配方：蛋白粉
Item_ArmorLV6,六级防弹衣
Item_Key_Card_Black,J-Lab门禁卡（黑）
Item_Key_Card_Purple,J-Lab门禁卡（紫）
Item_Apple,苹果
Item_Helmat_Vida,维达头盔
Item_BlackDogTag,狗牌
Item_Helmat_Roadblock,路障头盔
Item_Armor_SBossPhysical_ResPoison,噗咙防弹衣
Item_Helmat_SBossPhysical_ResPoison,噗咙头盔
Item_Armor_SBossPoison_LowDurResFire,咕噜防弹衣
Item_Helmat_SBossPoison_LowDurResFire,咕噜头盔
Item_EGun_StormBoss_2_Poison,*Item_EGun_StormBoss_2_Poison*
Item_EGun_StormBoss_3_Fire,*Item_EGun_StormBoss_3_Fire*
Item_EGun_StormBoss_4_Electric,*Item_EGun_StormBoss_4_Electric*
Item_EGun_StormBoss_5_Space,*Item_EGun_StormBoss_5_Space_Desc*
Item_Armor_SBossFire_ResElec,啪啦防弹衣
Item_Armor_SBossElec_ResSpace,比利防弹衣
Item_Armor_SBossSpace,口口防弹衣
Item_Helmat_SBossFire_ResElec,啪啦头盔
Item_Helmat_SBossSpace,口口头盔
Item_PST_StormBoss_Poison,咕噜枪
Item_BR_Storm_Space,风暴枪
Item_MG_StormBoss_Fire,啪啦枪
Item_SHT_StormBoss_Elec,比利枪
Item_Bullet_PWL_L,大型能量弹
Item_AppleSeed,测试种子
Item_ArmorLV5StormProtection,空间防护服终极版
Item_HelmatLV5StormProtection,空间防护头盔终极版
Item_Cartridge_Snake,蛇形武装
Item_FutureConsole,未来主机
Item_GameTable,*Item_GameTable*
Item_MonochromeMonitor,黑白显示器
Item_AcceleratorCard,加速卡
Item_Cartridge_BubblePop,碳酸危机
Item_Cartridge_FactoryPanicShock,*Item_Cartridge_FactoryPanicShock*
Item_Cartridge_GoldMiner,鸭鸭矿工
Item_ColorMonitor,彩色显示器
Item_Stone,小石头
Item_ToxGrenade,毒雾弹
Item_Helmat_Soda_Bucket,帽子头盔
Item_FireGrenade,燃烧弹
Item_ElecGrenade,电击手雷
Item_Poop_ShitGun_Poison,噗噗枪
Item_Bullet_Poop_Normal,粑粑弹
Item_Backpack_Fly_Wing,蝇蝇翅膀
Item_Poop_ShotShitGun_Poison,噗噗喷
Item_Totem_Armor_3,图腾：甲胄III
Item_Totem_Attack_3,图腾：攻击III
Item_Totem_ElecResist_3,图腾：抗电III
Item_Totem_Marathon_2,图腾：马拉松II
Item_Totem_Marathon_3,图腾：马拉松III
Item_Totem_FireResist_2,图腾：抗火II
Item_Totem_FireResist_3,图腾：抗火III
Item_Totem_FireResist,图腾：抗火I
Item_Totem_GunDamage_3,图腾：进击III
Item_Totem_Healing_2,图腾：恢复II
Item_Totem_Healing_3,图腾：恢复III
Item_Totem_Healing,图腾：恢复I
Item_Totem_MaxHealth_2,图腾：生命II
Item_Totem_MaxHealth_3,图腾：生命III
Item_Totem_MaxHealth,图腾：生命I
Item_Totem_Ninja_3,图腾：忍者III
Item_Totem_PhysicResist_2,图腾：抗物II
Item_Totem_PhysicResist_3,图腾：抗物III
Item_Totem_PoisonResist_2,图腾：抗毒II
Item_Totem_PoisonResist_3,图腾：抗毒III
Item_Totem_PoisonResist,图腾：抗毒I
Item_Totem_SpaceResist_2,图腾：抗空间II
Item_Totem_SpaceResist_3,图腾：抗空间III
Item_Totem_SpaceResist,图腾：抗空间I
Item_FaceMask_Fly_Eye,蝇蝇眼镜
Item_Totem_Efficiency_3,图腾：效率III
Item_Totem_Efficiency,图腾：效率I
Item_Totem_GunControl_2,图腾：控枪II
Item_Totem_GunControl_3,图腾：控枪III
Item_Totem_GunControl,图腾：控枪I
Item_Totem_GunCritDamage_2,图腾：爆头II
Item_Totem_GunCritDamage_3,图腾：爆头III
Item_Totem_GunCritDamage,图腾：爆头I
Item_Totem_GunDistance_2,图腾：狙击II
Item_Totem_GunDistance_3,图腾：狙击III
Item_Totem_GunDistance,图腾：狙击I
Item_Totem_MeleeAttack_3,图腾：战士III
Item_Totem_MeleeCritRate_2,图腾：狂战II
Item_Totem_MeleeCritRate_3,图腾：狂战III
Item_Totem_MeleeCritRate,图腾：狂战I
Item_Totem_SenseRange_2,图腾：感知II
Item_Totem_SenseRange_3,图腾：感知III
Item_Totem_SenseRange,图腾：感知I
Item_Totem_Speed_3,图腾：轻盈III
Item_Totem_Strong_2,图腾：健壮II
Item_Aritichoke,洋蓟
Item_Aubergine,茄子
Item_Banana,香蕉
Item_Cauliflower,花椰菜
Item_Cherry,樱桃
Item_Chilli,辣椒
Item_Coconut,椰子
Item_Corn,玉米
Item_Cucumber,黄瓜
Item_Garlic,大蒜
Item_Grape,葡萄
Item_Leek,韭葱
Item_Lemon,柠檬
Item_Mango,芒果
Item_Onion,洋葱
Item_Orange,橙子
Item_Pear,梨
Item_Pineapple,菠萝
Item_Starfruit,杨桃
Item_Strawberry,草莓
Item_Tomato,西红柿
Item_Watermelon,西瓜
Item_Seed_Apple,苹果的种子
Item_Seed_Aritichoke,洋蓟的种子
Item_Seed_Aubergine,茄子的种子
Item_Seed_Banana,香蕉的种子
Item_Seed_Carrot,胡萝卜的种子
Item_Seed_Cauliflower,花椰菜的种子
Item_Seed_Cherry,樱桃的种子
Item_Seed_Chilli,辣椒的种子
Item_Seed_Coconut,椰子的种子
Item_Seed_Corn,玉米的种子
Item_Seed_Cucumber,黄瓜的种子
Item_Seed_Garlic,大蒜的种子
Item_Seed_Grape,葡萄的种子
Item_Seed_Leek,韭葱的种子
Item_Seed_Lemon,柠檬的种子
Item_Seed_Mango,芒果的种子
Item_Seed_Onion,洋葱的种子
Item_Seed_Orange,橙子的种子
Item_Seed_Pear,梨的种子
Item_Seed_Pineapple,菠萝的种子
Item_Seed_Potato,奶牛面具
Item_Seed_Pumpkin,南瓜的种子
Item_Seed_Starfruit,杨桃的种子
Item_Seed_Strawberry,草莓的种子
Item_Seed_Tomato,西红柿的种子
Item_Seed_Watermelon,西瓜的种子
Item_Key_GroundZero_NavigationBoss,保险箱钥匙
Item_Quest_DefenceShield,防御立场发生器
Item_AR_AK47_Quest,特制AK47
Item_AR_AUGA3_Quest,特制StG 77A3
Item_BR_M14_Quest,特制M14
Item_PST_Glick_Quest,特制格力克
Item_SHT_MP155_Quest,特制MP-155
Item_SMG_SR3M_Quest,特制SR-3M
Item_Sniper_Mosin_Quest,特制Mosin-Nagant
Item_Quest_Letter_StudentList,毕业生名单
Item_Key_Farm_HeadMasterRoom,校长室钥匙
Item_Quest_NBDetergent,特种洁厕灵
Item_Quest_Farm_SpecialDrugs,腿疼特效药
Item_Quest_Farm_SpecialDrugs_2,手疼特效药
Item_Quest_Farm_SpecialDrugsQuest_Farm_3,头疼特效药
Item_Quest_Farm_SpecialDrugs_4,特效止疼药
Item_Quest_Farm_SpecialDrugs_5,强效蛋白粉
Item_Injection_FireResist,火抗性针
Item_Injection_PoisonResist,毒抗性针
Item_Injection_SpaceResist,空间抗性针
Item_HeavyWheel,沉重的轮胎
Item_bat,棒球棍
Item_BP_Bullet_Poop_Normal,蓝图：屎弹
Item_Armor_FireLandProtect,石棉工作服
Item_Helmat_FireLandProtect,石棉工作头盔
Item_Armor_ElecLandProtect,橡胶工作服
Item_Backpack_SBossElec_ResSpace,比利背包
Item_Backpack_SBossFire_ResElec,啪啦背包
Item_Backpack_SBossPoison_LowDurResFire,咕噜背包
Item_Helmat_Egg,碎蛋壳
Item_Key_Apartment102,员工公寓102钥匙
Item_Key_Apartment105,员工宿舍105钥匙
Item_Key_Apartment101,员工宿舍101钥匙
Item_Key_Dormitory101,宿舍楼101钥匙
Item_FutureConsoleController,未来控制器
Item_SHT_TOZ66_Fire,TOZ-66龙息
Item_GPUSLI,显示卡SLI
Item_BP_GPUSLI,蓝图：显示卡SLI
Item_Quest_916_ElectricParts_Ming,一堆电子零件
Item_Armor_FC,高手护甲
Item_BP_ColorMonitor,蓝图：彩色显示器
Item_FishingRod_LV2,好钓竿
Item_FishingRod_LV3,厉害钓竿
Item_Fish_Black_Snapper,绿鲷鱼
Item_Fish_Blue_Damselfish,蓝雀鲷鱼
Item_Fish_Blue_Jack_Mackerel,青南乳鱼
Item_Fish_Blue_Mackerel,蓝鲭鱼
Item_Fish_Blue_Marlin,蓝枪鱼
Item_Fish_Blue_Sailfish,蓝旗鱼
Item_Fish_Blue_Tang,蓝吊鱼
Item_Fish_Brown_and_White_Grunt,棕白石鲈
Item_Fish_Brown_Mullet,棕梭鱼
Item_Fish_Brown_Sardine,棕沙丁鱼
Item_Fish_Golden_Fish,黄金鱼
Item_Fish_Green_Cod,绿胖头鱼
Item_Fish_Green_Triggerfish,绿背鳙鱼
Item_Fish_Green_Yellow_Porcupinefish,绿黄鲀
Item_Fish_Grey_Catshark,蓝猫鲨鱼
Item_Fish_Orange_Greenfin_Fish,绿青鳍鱼
Item_Fish_Orange_Squirrelfish,橙金鳞鱼
Item_Fish_Pink_Clownfish,粉金鱼
Item_Fish_Purple_Damselfish,紫雀鲷鱼
Item_Fish_Redfin_Flamefish,粉鳍火焰鱼
Item_Fish_Redfin_Snapper,红鳍鲷鱼
Item_Fish_Red_Banded_Fish,红九间鱼
Item_Fish_Red_Goldfish,红金鱼
Item_Fish_Red_Grouper,大眼红鱼
Item_Fish_Red_Spotted_Grouper,红斑鱼
Item_Fish_White_Angelfish,白燕鱼
Item_Fish_White_Cod,大头金鱼
Item_Fish_White_Perch,白扁鱼
Item_Fish_Yellow_Green_Snapper,黄绿鲷
Item_Fish_Yellow_Porcupinefish,绿刺豚
Item_BP_SHT_TOZ66_Fire,蓝图：TOZ-66龙息
Item_PST_Glick_Space,空间格里克
Item_Backpack_FC,高手背包
Item_ArtichokeFloret,洋蓟瓣
Item_CornKernel,玉米粒
Item_DicedMango,芒果丁
Item_Earthworm,蚯蚓
Item_GrapeGrain,葡萄粒
Item_Helmat_PeakedCap,鸭舌帽
Item_ArmorLV5_3,五级重型防弹衣
Item_ArmorLV4_3,四级重型防弹衣
Item_ArmorLV3_2,三级重型防弹衣
Item_ArmorLV4_2,四级作战防弹衣
Item_ArmorLV5_2,五级作战防弹衣
Item_ArmorLV3_3,三级作战防弹衣
Item_HelmatLV1_2,坦克头盔
Item_HelmatLV2_2,二级轻型头盔
Item_HelmatLV3_2,三级轻型头盔
Item_HelmatLV3_UN,维和头盔
Item_HelmatLV4_2,四级防弹头盔
Item_HelmatLV5_1Hear,五级轻型头盔
Item_HelmatLV5_2,五级作战头盔
Item_Key_HiddenWarehouse_Cellar_Fork,地窖岔路钥匙
Item_Key_Defense_System,防空系统密钥
Item_Grenade_SpaceBoss,*Item_Grenade_SpaceBoss*
Item_Grenade_SpaceBoss,*Item_Grenade_SpaceBoss*
Item_FishingBait,鱼饵
Item_BP_ElecGrenade,蓝图：电击手雷
Item_BP_FireGrenade,蓝图：燃烧弹
Item_BP_ToxGrenade,蓝图：毒雾弹
Item_Aquarium,水族箱
Item_BP_BR_Storm_Space,蓝图：风暴枪
Item_Formula_FishingBait,配方：鱼饵
Item_BP_Bullet_PWL_L,蓝图：大型能量弹
Item_Bullet_PWS_H,强化小型能量弹
Item_ArmorLV1StormProtection,风暴工作服
Item_Quest_Blueprint_ShipSpace,神秘飞船图纸
Item_BlueCube,蓝色方块
Item_Backpack_Cubbe,方块收集装置
Item_BP_FishingRod_LV2,蓝图：好钓竿
Item_BP_FishingRod_LV3,蓝图：厉害钓竿
Item_Key_JLab_MiniGameCartriage,J-Lab放映室钥匙
Item_fiber_Lv2,高级有机纤维
Item_fiber_Lv3,顶级有机纤维
Item_Knife_01_Blade,小直刀
Item_Knife_02_Short,木柄短刀
Item_Knife_03_Knuckle,指虎刀
Item_Knife_04_Karambit,爪刀
Item_Knife_06_Gurkhakukri,廓尔喀弯刀
Item_Knife_07_Bayonet,战术刺刀
Item_Formula_KnifeBox,配方：战术刀具箱
Item_KnifeBox,战术刀具箱
Item_CandyCan,自制糖果
Item_Candy,棒棒糖
Item_PeaceStar,和平星
Item_FakePeaceStar,和平星粉末
Item_GunPowderLv5,高级火药
Item_BP_Bullet_AR_Piercing6,蓝图：AR-特种穿甲弹
Item_BP_Bullet_BR_Piercing6,蓝图：L-特种穿甲弹
Item_BP_Bullet_MAG_Piercing6,蓝图：MAG-特种穿甲弹
Item_BP_Bullet_SHT_Break,蓝图：特种霰弹
Item_BP_Bullet_SMG_Break,蓝图：S-特种弹
Item_BP_Bullet_SNP_Piercing6,蓝图：特种穿甲狙击弹
Item_Key_Farm_NorthFactoryRoom,北厂区小屋钥匙
Item_GunPowder_Blue,罐装火药（蓝）
Item_GunPowder_Green,罐装火药（绿）
Item_GunPowder_Red,罐装火药（红）
Item_BP_Bullet_SNP_Piercing2,蓝图：穿甲狙击弹
Item_BP_Bullet_AR_Piercing3,蓝图：AR-穿甲弹
Item_BP_Bullet_AR_Piercing5,蓝图：AR-高级穿甲弹
Item_BP_Bullet_BR_Piercing3,蓝图：L-穿甲弹
Item_BP_Bullet_BR_Piercing5,蓝图：L-高级穿甲弹
Item_BP_Bullet_MAG_Piercing2,蓝图：MAG-穿甲弹
Item_BP_Bullet_MAG_Piercing4,蓝图：MAG-高级穿甲弹
Item_BP_Bullet_SHT_Piercing3,蓝图：穿甲霰弹
Item_BP_Bullet_SHT_Piercing5,蓝图：高级穿甲霰弹
Item_BP_Bullet_SMG_Piercing3,蓝图：S-穿甲弹
Item_BP_Bullet_SMG_Piercing5,蓝图：S-高级穿甲弹
Item_BP_Bullet_SNP_Piercing4,蓝图：高级穿甲狙击弹
Item_SaltedFish,战术咸鱼
Item_ButcherKnife,猪肉刀
Item_SMG_ArcadeGun_Normal,玩具枪
Item_Formula_Cola,配方：可乐
Item_HelmatLV1StormProtection,风暴工作头盔
Item_Quest_DefenceShield_Text,防御力场操作说明
Item_BP_ArmorLV5,蓝图：五级防弹衣
Item_BP_ArmorLV5StormProtection,蓝图：空间防护服终极
Item_BP_ArmorLV5_2,蓝图：五级作战防弹衣
Item_BP_ArmorLV5_3,蓝图：五级重型防弹衣
Item_BP_ArmorLV6,蓝图：六级防弹衣
Item_BP_BackpackLV5,蓝图：行军背包MAX
Item_BP_HelmatLV5,蓝图：SCIFI面罩
Item_BP_HelmatLV5StormProtection,蓝图：空间防护头盔终极
Item_BP_HelmatLV5_1Hear,蓝图：五级轻型头盔
Item_BP_HelmatLV5_2,蓝图：五级作战头盔
Item_BP_HelmatLV6,蓝图：神之电焊头
Item_Key_Farm_Nursing_Computer,疗养院机房钥匙
Item_Key_Farm_Nursing_Restaurant,疗养院餐厅钥匙
Item_Key_Farm_Nursing_Room_1,疗养院房间钥匙-1
Item_Key_Farm_Nursing_Room_2,疗养院房间钥匙-2
Item_Accelerator,加速器
Item_ConcentratedSlurry,浓缩浆质
Item_CrystalBattery,晶体电池
Item_CrystalFiltrationUnit,晶体过滤单元
Item_CrystalBooster,晶体增压器
Item_BulkSpaceCrystal,大型空间晶体
Item_SpaceEye,风暴眼
Item_Formula_ConcentratedSlurry,配方：浓缩浆质
Item_AR_MF_Poison,MF-毒液
Item_BP_AR_MF_Poison,蓝图：MF-毒液
Item_CarBattery,汽车电池
Item_Splint,骨夹板
Item_SplintAdv,高级骨夹板
Item_SurgicalKit,手术包
Item_SurgicalKitL,增强手术包
Item_Injection_BleedResist,止血针
Item_SmallAxe,斧子
Item_Armor_Football_1,休闲套装
Item_Armor_Football_2,运动背心
Item_FackMask_Football_Glass,金丝眼睛
Item_HeadsetLV2,橘子耳机
Item_GoldBadge,纯金徽章
Item_ToteBag,手提袋
Item_MoonShine,灵魂私酒
Item_ShitBall,粪球
Item_Kazoo,卡祖笛
Item_SHT_Candy_Ghost,糖果枪
Item_Helmat_PumpkinLight,南瓜灯
Item_Bullet_Candy_Ghost,糖豆子弹
Item_PsychicSubstance,灵能物质
Item_SHT_TOZ106_Ghost,灵能枪
Item_BP_Bullet_Candy_Ghost,蓝图：糖豆子弹
Item_ToyBell,玩具铃铛
Item_BP_SHT_Candy_Ghost,蓝图：糖果枪
Item_BP_SHT_TOZ106_Ghost,蓝图：灵能枪
Item_GhostBat,灵能棍
Item_Backpack_Pumpkin_Jack,杰克背包
Item_BP_Backpack_Pumpkin_Jack,蓝图：杰克背包
Item_BP_Helmat_PumpkinLight,蓝图：南瓜灯
Item_Quest_Camera_Jeff,杰克的照相机
Item_CoinBlade,铜钱剑
Item_BP_CoinBlade,蓝图：铜钱剑
Item_Helmat_WitchHat,巫师帽
Item_Armor_WitchCloth,巫师服
Item_Wand,烧火棍
Item_Totem_GhostResist,护身符,手动补录
Item_Muzzle_SHT_DAM_1,霰弹枪增伤枪口
Item_Muzzle_SNP_DAM_1,狙击枪增伤枪口
Item_Muzzle_AR_DAM_1,步枪增伤枪口
Item_Muzzle_SMG_DAM_1,冲锋枪增伤枪口
Item_Muzzle_PST_DAM_1,手枪增伤枪口
Item_Tec_Flashlight_NON_1,战术手电
Item_Tec_Laser_SCA_1,激光-基础
Item_Tec_Laser_ADS_1,激光-机动
Item_Tec_Laser_CIT_1,激光-暴击
Item_Muzzle_AR_DIS_1,步枪延长枪口
Item_Muzzle_PST_DIS_1,手枪延长枪口
Item_Muzzle_SNP_DIS_1,狙击枪延长枪口
Item_Muzzle_SMG_SIL_1,冲锋枪消音器
Item_Muzzle_AR_SIL_1,步枪消音器
Item_Muzzle_SNP_REC_1,狙击枪制退器-均衡A
Item_Muzzle_SMG_REC_1,冲锋枪制退器-均衡A
Item_Muzzle_AR_REC_1,步枪制退器-均衡A
Item_Muzzle_SHT_REC_1,霰弹枪制退器-均衡A
Item_Muzzle_SNP_SCA_1,狙击枪制退器-散步
Item_Muzzle_SMG_SCA_1,冲锋枪制退器-散步
Item_Muzzle_PST_SCA_1,手枪制退器-散步
Item_Muzzle_AR_SCA_1,步枪制退器-散步
Item_Muzzle_SNP_SIL_1,狙击枪消音器
Item_Muzzle_PST_SIL_1,手枪消音器
Item_Stock_AR_MOV_1,快速枪托
Item_Stock_AR_REC_1,平衡枪托I
Item_Stock_AR_REL_1,轻型枪托
Item_Grip_ALL_ADS_1,快速握把A
Item_Grip_ALL_REC_1,垂直握把I
Item_Grip_ALL_SCA_1,腰射握把I
Item_Magazine_AR_CAP_1,步枪扩容弹匣I
Item_Magazine_PST_CAP_1,手枪扩容弹匣I
Item_Magazine_SMG_CAP_1,冲锋枪扩容弹匣I
Item_Magazine_SNP_CAP_1,狙击枪扩容弹匣I
Item_Magazine_BR_CAP_1,BR扩容弹匣I
Item_Magazine_AR_ADS_1,步枪快速弹匣I
Item_Magazine_PST_ADS_1,手枪快速弹匣I
Item_Magazine_SNP_ADS_1,狙击枪快速弹匣I
Item_Magazine_SMG_ADS_1,冲锋枪快速弹匣I
Item_Magazine_BR_ADS_1,BR快速弹匣I
Item_Scope_AR_4X_1,步枪4倍镜
Item_Scope_SNP_8X_1,狙击枪8倍镜
Item_Scope_All_Digit_1,数字瞄具
Item_Scope_All_Holo_1,全息瞄具
Item_Scope_All_Long_1,快速瞄具
Item_Scope_All_RedDot_1,红点瞄具
Item_Scope_All_2X_1,2倍镜
Item_Muzzle_SHT_SIL_1,霰弹枪重型消音器
Item_Totem_PhysicResist,图腾：抗物I
Item_Totem_PhysicResist_Desc,免疫流血
Item_Totem_Efficiency_2,图腾：效率II
Item_RedEye,RedEye
Item_EGun_Magic_Red,EGun_Magic_Red
Item_Bait2,Bait2
EGun_SHOT_Storm_NoGraphic,EGun_SHOT_Storm_NoGraphic
